PROJECT_NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,SITE_TYPE,SITE_TYPE_DETAILED,ACRES,APN,NATIONAL_PRIORITIES_LIST,REGULATORY_AGENCIES_INVOLVED,LEAD_AGENCY,PROJECT_MANAGER,SUPERVISOR,DIVISION_BRANCH,ENVIROSTOR_ID,SITE_CODE,ASSEMBLY,SENATE,CONGRESSIONAL_DISTRICT,SPECIAL_PROGRAM,STATUS,STATUS_DATE,PAST_USES,POTENTIAL_COC,CONFIRMED_COC,POTENTIAL_MEDIA_AFFECTED,RESTRICTED_USE,SITE_MGMT_REQ,FUNDING,LATITUDE,LONGITUDE
Proposed Antelope Valley Academy,W. 17th Street & W. Avenue J,Lancaster,CA,93534,LOS ANGELES,School Investigation,School,4.5,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,60000552,304555,39,23,27,,Inactive - Withdrawn,8/28/2007 0:00,"AGRICULTURAL - LIVESTOCK, AGRICULTURAL - ORCHARD",31001,31001-NO,SOIL,NO,NONE SPECIFIED,School District,34.6912,-118.1607
EAST LOS ANGELES HIGH SCHOOL NO. 1,Belvedere Park/Cesar Chavez Ave/Mednik Ave/1st St,Los Angeles,CA,90022,LOS ANGELES,School Cleanup,School,16.35,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19820069,304320,52,26,34,,Inactive - Needs Evaluation,3/17/2003 0:00,* EDUCATIONAL SERVICES,", 30485, 10084, 10134, 30013, 30007, 30474, 30156, 30542, 30003, 30014, 30550, 30593, 30191, 30272, 30594, 30402, 30080, 30207, 30004, 30481",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.040395,-118.1606533
CAL CLEANERS,2624 E. CARSON ST.,LAKEWOOD,CA,90712,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19720046,,62,33,44,,Refer: 1248 Local Agency,7/25/2003 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.8322522,-118.1603361
CARSON/NORWALK PIPELINE PROJECT,VARIOUS,VARIOUS,CA,90000,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,85,NONE SPECIFIED,NO,HWMP,HWMP,,* Greg Holmes,Cleanup Cypress,19460002,300720,62,33,44,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,6/11/1999 0:00,"UNKNOWN, TRANSPORTATION - PIPELINE","30003, 30013, 30016, 30022, 30024, 3002501, 30026, 30095, 30182, 30272, 30550, 30593","30003-NO,30013-NO,30016-NO,30022-NO,30024-NO,30026-NO,30272-NO,30182-NO,30550-NO,3002501-NO,30593-NO,30095-NO",SOIL,NO,NONE SPECIFIED,Responsible Party,33.88925,-118.16017
WOMEN'S AIR CORPS,,Long Beach,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000747,,69,33,42,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.81111111,-118.1597222
Paramount Site Discovery,"Area between 710 FWY (west), 105 FWY (north), 91 (FWY) (south) and Lakewood Boulvard",Paramount,CA,90723,LOS ANGELES,Evaluation,Evaluation,3490,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Cleanup Chatsworth,60002221,900287-27,62,33,44,EPA - PASI,Inactive - Needs Evaluation,12/12/2022 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,EPA Grant,33.887648,-118.159599
Abbott Laboratories Diagnostics Division,820 Mission Street,South Pasadena,CA,91030,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003780,,49,25,28,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.1158452,-118.1594258
Mercury Die & Container,3201 W. Mission Road,Alhambra,CA,91803,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002692,,49,25,28,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.080746,-118.158641
ROBERT E. LEE SCHOOL SITE,1620 Temple Avenue,Long Beach,CA,90804,LOS ANGELES,School Investigation,School,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19820022,404076,69,33,42,,No Action Required,2/11/2000 0:00,* EDUCATIONAL SERVICES,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,33.7875956,-118.1585246
W C HARDESTY,6052 SHULL ST,BELL GARDENS,CA,90201,LOS ANGELES,Historical,* Historical,1,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Chatsworth,19490123,,64,33,42,* Site Char & Assess Grant (CERCLA 104),Refer: Other Agency,8/31/1995 0:00,NONE SPECIFIED,"10003, 10037, 10193, 10197, 20001, 30153, 30160",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.954226,-118.158343
LONG BEACH ARMY AIRFIELD,,Long Beach,CA,,LOS ANGELES,Military Evaluation,FUDS,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000835,,69,33,42,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,30011,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.81666667,-118.1583333
CHRYSLER MOTORS,,Commerce,CA,,LOS ANGELES,Military Evaluation,FUDS,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000998,,54,33,42,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.98333333,-118.1583333
"Metal Surfaces, Inc.",6060 Shull Street,Bell Gardens,CA,90201,LOS ANGELES,Evaluation,Evaluation,1,NONE SPECIFIED,NO,SMBRP,SMBRP,Manjul Bose,Andres Cano,Cleanup Chatsworth,71002206,600948,64,33,42,EPA - PASI,Refer: EPA,6/27/2013 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.953545,-118.15792
URBAN PACIFIC BUILDERS DEVELOPMENT,1835-1899 ORIZABA AVE. & 1860 ELLIS AVE.,SIGNAL HILL,CA,90804,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19950001,,69,33,42,,Refer: 1248 Local Agency,1/10/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.7907813,-118.1578127
NIKE BTRY      - MT GLEASON,,Mt Gleason,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000724,,34,23,27,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,34.38055556,-118.1575
Commerce B,5625 Jillson Street,Commerce,CA,90040,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,1.4,"6335-025-905, 6335025905",NO,SMBRP,SMBRP,Fatima Carrera,Andres Cano,Cleanup Chatsworth,60002880,301867,54,33,42,Voluntary Agreement - Standard Voluntary Agreement,Active,9/18/2019 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Responsible Party,34.00107,-118.15746
4TH STREET NEW PRIMARY CENTER,Atlantic Boulevard/Hasting Street,Los Angeles,CA,90022,LOS ANGELES,School Investigation,School,1.83,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19790004,304279,52,26,34,,No Action Required,5/14/2001 0:00,RECREATION SERVICES,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,34.0246,-118.1574
AMERICAN ENVIRONMENTAL LLC,3033 W MISSION RD,ALHAMBRA,CA,918030000,LOS ANGELES,Corrective Action,Corrective Action,0,5342034003,NO,SMBRP,WM,,Farshad Vakili,Office of Permitting,80001704,300224,49,25,28,,Active,1/1/2008 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,YES,NONE SPECIFIED,,34.079156,-118.157153
Commerce A,5550 Harbor Street,Commerce,CA,90040,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,1.24,"6335-025-903, 6335025903",NO,SMBRP,SMBRP,Fatima Carrera,Andres Cano,Cleanup Chatsworth,60002882,301869,54,33,42,Voluntary Agreement - Standard Voluntary Agreement,Active,9/18/2019 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Responsible Party,34.00318,-118.15683
LONG BEACH MUNICIPAL AIRPORT D,4100 Donald Douglas Dr,Long Beach,CA,90808,LOS ANGELES,Military Evaluation,FUDS,640,NONE SPECIFIED,NO,SMBRP,SMBRP,Omoruyi Patrick,Eileen Mananian,Cleanup Cypress,80000305,401508,69,33,42,,No Further Action,9/13/2012 0:00,FIRING RANGE - SMALL ARMS ETC...,30011,NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,DERA,33.821009,-118.156366
STAUFFER MIDDLE SCHOOL,11985 Old River School Road,Downey,CA,90241,LOS ANGELES,School Investigation,School,0.4,"623-202-4902, 6232024902",NO,SMBRP,SMBRP,Johnson Abraham,Shahir Haddad,Southern California Schools & Brownfields Outreach,19820109,304673,64,30,42,,Inactive - Withdrawn,4/24/2019 0:00,* EDUCATIONAL SERVICES,"30001, 30006, 30007, 30008, 30013","3,000,130,006,300,070,000,000,000",SOIL,NO,NONE SPECIFIED,School District,33.9388508,-118.1560776
USARC LONG BEACH,,Long Beach,CA,,LOS ANGELES,Military Evaluation,FUDS,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000496,,69,33,42,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.80805556,-118.1555556
4TH STREET NEW PRIMARY CENTER (ALT.),Atlantic Avenue/4th Street,Los Angeles,CA,90022,LOS ANGELES,School Investigation,School,2.08,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19750094,304346,52,26,34,,No Further Action,2/10/2000 0:00,VEHICLE MAINTENANCE,", 30153, 30183, 30058, 30014, 30156, 30542, 30402, 30080, 30515",NONE SPECIFIED,"SOIL, SV",NO,NONE SPECIFIED,School District,34.027594,-118.155111
"CARL'S AUTO BODY, INC.",1101 OBISPO AVENUE,LONG BEACH,CA,90804,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Cypress,19750075,,69,33,42,,Refer: Other Agency,1/18/1995 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.78088897,-118.1548829
Paramount High School - Field House,14429 South Downey Avenue,Paramount,CA,90732,LOS ANGELES,School Investigation,School,1.7,"6241-001-907, 6241001907",NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,60001037,304617,62,33,44,,No Further Action,2/26/2009 0:00,"AGRICULTURAL - LIVESTOCK, AGRICULTURAL - ORCHARD, SCHOOL - HIGH SCHOOL","NONE SPECIFIED,31000",31000,NMA,NO,NONE SPECIFIED,School District,33.902372,-118.154494
Belmont Shopping Center,3200-3202 E. Anaheim Street & 1222-1234 Obispo Avenue,Long Beach,CA,90804,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,7.18,"7259-015-012, 7259-015-013",NO,SMBRP,SMBRP,Linda Ocampo,Emad Yemut,Southern California Schools & Brownfields Outreach,60002478,401777,69,33,42,Voluntary Agreement - Standard Voluntary Agreement,Active,1/31/2017 0:00,DRY CLEANING,"31001, 30022, 30025, 30027, 30001","30001-NO,30022-NO,30025-NO,30027-NO,31001-NO","UE, OTH, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,33.78205126,-118.1543602
BELL GARDENS HIGH SCHOOL,6119 Agra Street,Bell Gardens,CA,90201,LOS ANGELES,School Investigation,School,,NONE SPECIFIED,NO,HWMP,HWMP,Shahir Haddad,Thomas Cota,Southern California Schools & Brownfields Outreach,60000004,304181,64,33,42,,Inactive - Needs Evaluation,7/20/2000 0:00,AGRICULTURAL - ROW CROPS,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,33.97559,-118.15426
WEA Manufacturing Commerce,6110 Peachtree Street,Los Angeles,CA,90040,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003755,,54,33,42,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.9828383,-118.1541373
MONITOR POLISHING & PLATING,390 S PASADENA AVE,PASADENA,CA,911050000,LOS ANGELES,Corrective Action,Corrective Action,1,NONE SPECIFIED,NO,TPCAB,PCA,Shahir Haddad,Shahir Haddad,Southern California Schools & Brownfields Outreach,80001453,301189,41,25,28,,Inactive - Action Required,4/26/2017 0:00,"METAL PLATING - CHROME, METAL PLATING - OTHER","30005, 30022, 30027","300,053,002,230,027","AQUI, SOIL",NO,NONE SPECIFIED,,34.13909,-118.154098
International Extrustion Corp.,1000 Meridian Avenue,Alhambra,CA,91801,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002397,,49,25,28,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.083854,-118.153828
Monitor Polishing & Plating,390 S. Pasadena Avenue,Pasadena,CA,91105,LOS ANGELES,Tiered Permit,Tiered Permit,1,NONE SPECIFIED,NO,SMBRP,SMBRP,Shahir Haddad,Shahir Haddad,Southern California Schools & Brownfields Outreach,71002527,301189,41,25,28,,Inactive - Action Required,4/26/2017 0:00,"METAL PLATING - CHROME, METAL PLATING - OTHER","30022, 30027, 30152, 30153","30,022,301,523,015,300,000","SOIL, SV",YES,NONE SPECIFIED,,34.139045,-118.153726
Industrial Zinc Plating,3200 East 29th Street,Long Beach,CA,90806,LOS ANGELES,Corrective Action,Corrective Action,2,7212022015,NO,SMBRP,SMBRP,Vu Nguyen,Jose Diaz,Cleanup Chatsworth,60001066,550986,69,33,42,,Active,3/1/2009 0:00,"ILLEGAL DUMPING, LDF, METAL PLATING - OTHER","31001, 30015, 30024, 30025","30024-NO,30025-NO,31001,30015","SOIL, SV",YES,NONE SPECIFIED,Responsible Party,33.80651128,-118.1536138
Newcrow II,6141 to 6241 Randolph Street,Commerce,CA,90040,LOS ANGELES,State Response,State Response or NPL,40,NONE SPECIFIED,NO,SMBRP,SMBRP,Don Indermill,Andres Cano,Cleanup Chatsworth,60000714,301321,54,33,42,,Active,5/11/2021 0:00,"AEROSPACE MANUFACTURING/MAINTENANCE, DEGREASING FACILITY, MACHINE SHOP, MAINTENANCE / CLEANING, MANUFACTURING - ELECTRONIC, MANUFACTURING - METAL, MANUFACTURING - OTHER, METAL FINISHING, OIL/WATER SEPARATORS, PAINT/DEPAINT FACILITY, TRANSPORTATION - WAREHOUSING, WASTE - INDUSTRIAL WASTE LINE, AEROSPACE MANUFACTURING/MAINTENANCE, DEGREASING FACILITY, FUEL - VEHICLE STORAGE/ REFUELING, MANUFACTURING - ELECTRONIC, MANUFACTURING - METAL, MANUFACTURING - OTHER, METAL FINISHING, VEHICLE MAINTENANCE","30003, 30017, 30022, 30026, 30027, 30116, 30136, 30153, 30192, 30193, 30194, 30195, 30246, 30384, 30423, 30564, 30571, 30005, 30017, 30022, 30027","30003,30017,30564,30571,30022,30026,30153,30192,30193,30195,30246,30384,30116,30027,30136,30194,30423-NO,, ,30017,30005,30022,30027","OTH, SOIL, SV, AQUI, OTH, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,33.97852759,-118.1534207
Alhambra Storage,1146 S. Meridian Ave,Alhambra,CA,91803,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,1.78,"5342-032-003, 5342032003",NO,SMBRP,SMBRP,Antonio Sandoval,Andres Cano,Cleanup Chatsworth,60003472,302000,", 49",", 25",28,Voluntary Agreement - CLRRA,Active,2/2/2023 0:00,"MANUFACTURING - METAL, MANUFACTURING - OTHER, VEHICLE MAINTENANCE,","30022, 30027, 30116, 30136","30,022,300,273,011,600,000","IA, SED, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,34.0813,-118.15308
BROWNING LBUSD,3230 East Hill Street,Long Beach,CA,90755,LOS ANGELES,School Cleanup,School,10,NONE SPECIFIED,NO,SMBRP,SMBRP,Johnson Abraham,Shahir Haddad,Southern California Schools & Brownfields Outreach,19760019,404044,69,33,42,,No Further Action,12/14/2020 0:00,* MISCELLANEOUS REPAIR SERVICES,", 30024, 30001",NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,School District,33.796696,-118.152981
Huntington Memorial Hospital,100 W. California Boulevard,Pasadena,CA,91105,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002706,,41,25,28,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.133618,-118.152938
"Valley Plating Works, Inc.",5900 E. Sheila Street,Commerce,CA,90040,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003683,,54,33,42,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.996093,-118.152732
COMMERCE/REFUSE TO ENERGY,5900 SHEILA STREET,COMMERCE,CA,90040,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,5.7,"6334-025-011, 6334025011, 6334025012, 6334025911",NO,SMBRP,SMBRP,Narine Aghakiant,Jose Diaz,Cleanup Chatsworth,19250003,300037,54,33,42,Voluntary Agreement - Standard Voluntary Agreement,Active,4/18/1996 0:00,"MANUFACTURING - OTHER, MANUFACTURING - OTHER","10002, 10097, 30022, 30027, 30192, 30194, 30003, 30022, 30024, 30025, 30027, 30272, 30593","30022,30027,30192,30194,, ,30003-NO,30022,30024,30025,30027,30272,30593","OTH, SOIL, SV, OTH, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,33.99609267,-118.1527317
Quick & Clean,1331 Huntington Drive,South Pasadena,CA,91030,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0.25,NONE SPECIFIED,NO,SMBRP,SMBRP,Nancy Cardona,Jose Diaz,Cleanup Chatsworth,60002497,301789,49,25,28,Voluntary Agreement - Standard Voluntary Agreement,Active,10/19/2018 0:00,DRY CLEANING,"30003, 30022","3,000,330,022","IA, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,34.1037549,-118.1525966
QLX Photoprocessing,3400 E. 70th Street,Long Beach,CA,90805,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002905,,65,33,44,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.881438,-118.152145
COMPASS MANAGEMENT AND LEASING OF IRVINE,6033 BANDINI BLVD.,COMMERCE,CA,90022,LOS ANGELES,Historical,* Historical,,6332006002,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19380057,,54,33,42,,Refer: Other Agency,7/28/1994 0:00,NONE SPECIFIED,"10002, 10003, 10009, 10061, 10063, 10094, 10095, 10097, 10100, 10177, 10196, 10198, 10199, 20010, 20017, 30013, 30153, 30357",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.99095664,-118.1520334
"Pressure Systems, Inc.",6033 E. Bandini Boulevard,Commerce,CA,90040,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002156,,54,33,42,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.990957,-118.152033
"Lubeco, Inc.",6859 Downey Avenue,Long Beach,CA,90805,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002919,,65,33,44,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.87994,-118.152001
USA & RAFAEL CLEANERS,7125 GARFIELD AVE STE A,BELL GARDENS,CA,90201,LOS ANGELES,Evaluation,Evaluation,0.39,6329016032,NO,SMBRP,SMBRP,Joseph Arreola,Marissa Cozette,CVCI Discovery and Enforcement,60003301,308007,64,33,42,CVCI - Discovery and Enforcement,Active,4/1/2022 0:00,DRY CLEANING,"30022, 30027, 30028, 30195, 30196","30022-NO,30027-NO,30028-NO,30195-NO,30196-NO",SV,NO,NONE SPECIFIED,CVCI 2021,33.96682429,-118.1514027
Paramount High School,14429 South Downey Avenue,Paramount,CA,90723,LOS ANGELES,School Investigation,School,0.97,NONE SPECIFIED,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,60000913,304606,62,33,44,,No Further Action,11/19/2008 0:00,"AGRICULTURAL - LIVESTOCK, AGRICULTURAL - ORCHARD",31001,NONE SPECIFIED,UE,NO,NONE SPECIFIED,School District,33.902555,-118.151402
PARAMOUNT PETROLEUM CORPORATION,14708 DOWNEY AVENUE,PARAMOUNT,CA,90723,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19290291,,62,33,44,,Refer: RWQCB,8/31/1995 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.91083333,-118.1513889
Shell Oil Co. - Signal Hill Plant,2457 Redondo Avenue,Long Beach,CA,90806,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002341,,69,33,42,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.8030943,-118.1513667
PROGRESS SCHOOL SITE,15600 Downey Avenue,Paramount,CA,90723,LOS ANGELES,School Investigation,School,13.5,NONE SPECIFIED,NO,DTSC,DTSC,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19880051,304091,62,33,44,,No Action Required,4/13/2000 0:00,RESIDENTIAL AREA,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,33.89197,-118.15133
CONTINENTAL CAN COMPANY - USA PLANT 442,5650 EAST GRACE PLACE,COMMERCE,CA,90040,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19340722,,54,33,42,* RCRA 3012 - Past Haz Waste Disp Inven Site,Refer: Other Agency,8/31/1995 0:00,NONE SPECIFIED,"10098, 10198",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.016641,-118.1510214
BOYLE MIDWAY HOUSEHOLD PRODUCTS - NORTH,NORTH PORTION OF EAST SHEILA STREET,COMMERCE,CA,90040,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,7.12,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Allan Plaza,Cleanup Chatsworth,19280491,,54,33,42,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,3/14/1996 0:00,"MANUFACTURING - CHEMICALS, MANUFACTURING - OTHER","30004, 30025","3,000,430,025","SOIL, SOIL",NO,NONE SPECIFIED,Responsible Party,33.99523615,-118.1509849
BOYLE MIDWAY HOUSEHOLD PRODUCTS - SOUTH,SOUTH PORTION 6000 EAST SHEILA STREET,COMMERCE,CA,90040,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,2.68,"6334-025-013, 6334025013",NO,DTSC,DTSC,,Allan Plaza,Cleanup Chatsworth,19281212,,54,33,42,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,8/14/1996 0:00,"MANUFACTURING - CHEMICALS, MANUFACTURING - OTHER","30006, 30007, 30008, 30013, 30024, 30025","300,063,000,730,008,000,000,000,000,000",SOIL,NO,NONE SPECIFIED,Responsible Party,33.99523615,-118.1509849
AVENUE N SCHOOL,Avenue N/35th Street West,Lancaster,CA,93534,LOS ANGELES,School Investigation,School,20,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19650026,304374,34,23,27,,No Action Required,6/17/2002 0:00,NONE,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,34.7349,-118.1508
"TEPCO, INC",6274 EAST PEACHTREE STREET,COMMERCE,CA,90040,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19150001,,54,33,42,* RCRA 3012 - Past Haz Waste Disp Inven Site,Refer: Other Agency,8/21/1995 0:00,NONE SPECIFIED,"10176, 10185, 10195, 10197",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.9825378,-118.1506395
Downey Glass Co.,5631 Ferguson Drive,Commerce,CA,90022,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002342,,54,33,42,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.011031,-118.150637
